full_name,position,team,annual_salary,annual_guaranteed
Adam Trautman,TE,DEN,5666667,3166667
Albert Okwuegbunam,TE,LV,885000,442500
DeeJay Dallas,RB,MIN,885000,442500
Justin Strnad,LB,DEN,6000000,3333333
Charlie Woerner,TE,ATL,4000000,1386667
Joe Burrow,QB,CIN,55000000,29302000
Rex Sunahara,LS,CLE,1075000,0
Isaac Alarcon,OL,SF,885000,442500
Chris Blair,WR,ATL,1075000,0
Kwity Paye,DL,LV,885000,442500
Dayo Odeyingbo,DL,CHI,885000,442500
Will Fries,OL,MIN,885000,442500
Tarik Black,WR,DET,885000,442500
Tim Jones,WR,JAX,885000,442500
Jamien Sherwood,LB,NYJ,15000000,10000000
Michael Carter II,DB,PHI,885000,442500
Jason Pinnock,DB,NYG,885000,442500
Brandin Echols,DB,PIT,885000,442500
Milo Eifler,LB,TEN,1202500,0
Shane Zylstra,TE,NE,885000,442500
Will Sherman,OL,NO,885000,442500
Rashod Bateman,WR,BAL,12250000,5500000
Aaron Banks,OL,GB,885000,442500
Azeez Ojulari,LB,LV,885000,442500
Nico Collins,WR,HOU,30000000,28500000
Chuba Hubbard,RB,CAR,8300000,3014500
Brevin Jordan,TE,HOU,1170000,25000
Jaylon Moore,OL,KC,885000,442500
Deommodore Lenoir,DB,SF,885000,442500
Talanoa Hufanga,DB,DEN,885000,442500
Roy Lopez,DL,ARI,885000,442500
Foster Sarell,OL,SF,885000,442500
Ar'Darius Washington,DB,NYG,885000,442500
Quintin Morris,TE,JAX,2000000,1700000
Alaric Jackson,OL,LA,885000,442500
